raw_name,canonical_name
Ablecom,"Ablecom Technology, Inc."
"Ablecom Technology, Inc.","Ablecom Technology, Inc."
AMD,"Advanced Micro Devices, Inc."
"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc."
Compuware,"Compuware Technology, Inc."
"Compuware Technology, Inc.","Compuware Technology, Inc."
Green Earth,"Green Earth Liang's Inc."
"Green Earth Liang's Inc.","Green Earth Liang's Inc."
Intel,Intel Corporation
Intel Corporation,Intel Corporation
Leadtek,Leadtek Research Inc.
Leadtek Research Inc.,Leadtek Research Inc.
Mega Bank,Mega International Commercial Bank
Mega International Commercial Bank,Mega International Commercial Bank
NVIDIA,NVIDIA Corporation
NVIDIA Corporation,NVIDIA Corporation
